,Mean,SD,Skewness,Excess Kurtosis,RR ratio
RMD,0.000559026831244352,0.013172609573731583,-0.2843323832063518,0.09591223566427631,0.042438578940284265
IR,0.0007111941497795886,0.01689937649640643,-0.8581839694245172,1.3987246664966388,0.04208404670615041
SNA,0.0005862067127183609,0.01416794849316404,-0.4549044736707498,0.2514675435750755,0.04137555363087341
EA,0.0006286465603486943,0.015377001788848882,-3.014811771255696,19.747453143949365,0.04088225838697484
MCO,0.0006803782162764734,0.01675029471602033,0.2711865700979278,-0.16339672430161212,0.04061888031293835
BK,0.0006716015767603957,0.01673132725009621,-1.1332983685981077,3.9212037168328644,0.040140364641814884
CCL,0.0013150446895562795,0.03283790145015609,0.17537315065817785,-0.38331848196089435,0.040046550829454075
PCG,0.000522566592671893,0.013146695903295971,-0.022524636565085018,0.1815148184218751,0.03974889177598471
LLY,0.0005346186604044325,0.013486900005801104,-0.6208920385289209,0.7677672561919735,0.039639847568713166
AMAT,0.0009763041746380316,0.024765153532795712,-0.06635701903039047,0.8748413998496969,0.039422496345324194
RSG,0.00045427713505412446,0.011764103413815183,-0.08783357327832278,0.451659570738685,0.03861553397436508
TFX,0.0006792611736395715,0.017602299063882634,-0.817310237265139,4.307341681590798,0.03858934399275814
RTX,0.00046126777652564534,0.012138360329517574,0.05170414180626116,0.4593847231470769,0.038000830755036415
OKE,0.0006113145793875455,0.016211338007395923,-0.772543388033146,0.7464413939151839,0.03770907614835074
UAL,0.0009608064354831111,0.025997165723158945,-0.08914257206572425,0.8944308302350743,0.036958122501300206
FTV,0.0005387415108301768,0.014801449758275345,-0.19125309680790425,0.033270054645770486,0.03639788801964968
MMC,0.0004528879279071221,0.012584178927043254,-0.37508747896344025,0.5763911223907177,0.03598867518753021
PEP,0.0003044340480783049,0.00858601955189256,0.24850630964056647,0.6608338004370511,0.03545694791845664
DD,0.0005343781671205773,0.015428423732715484,0.9170043438153864,4.776627620758686,0.03463595350881149
CAH,0.0004800928436690248,0.013949526948437986,0.23775346806669465,-0.14885889604009872,0.034416424689066874
ILMN,0.0011660602615318801,0.034328217810358316,1.2423955919182967,4.8956075280752005,0.03396798132584759
GNRC,0.0011236292590837027,0.03325958310773112,-0.2049954828209773,0.04356624430039613,0.03378362426985796
BRO,0.0004931734006534134,0.01481403799346841,-0.46432199902560756,1.3815939687106544,0.033290950169754946
OTIS,0.0004187926439694722,0.012875908825675172,-0.6222996782964173,0.7718029607670598,0.03252528808951954
ETN,0.0005621362775657815,0.017321048464016314,-1.4381678903420416,4.24966992040966,0.032453940576033485
BEN,0.0005959531971068448,0.01849055730970852,0.1473932095913353,0.2844017748377894,0.032230137097811425
WMT,0.000312680529636892,0.009952119477830671,-0.1955693523981736,-0.33721509182764686,0.031418486316750795
SO,0.0004005440448713096,0.012875926059428588,-0.05049136795449162,0.050683875754449215,0.031107979575418988
PSX,0.0006936267367832175,0.022504781921303448,-0.24607040029684868,0.7430138598927463,0.030821304521356743
LMT,0.0003124575211623902,0.010179555183455355,-0.20697478131617073,1.416976961179401,0.030694614404195353
CTAS,0.0004172575199199748,0.013751569236199123,0.6921833453461962,1.6264586598936086,0.03034253856800586
ROP,0.00033145409741719835,0.010983465250035268,0.015718930995418375,-0.25410241196118255,0.03017755233632974
CARR,0.000579062423557196,0.019575257452488205,-0.7138606275279801,1.2507124286027604,0.029581343947207784
BDX,0.0002913539136704908,0.010247073467465081,-0.40239871908599,-0.43902888503315207,0.02843289009252764
PTC,0.00040777719613058785,0.014389152837219619,0.13708940492843003,0.22657687620689648,0.02833920806482876
NXPI,0.0005978527594630133,0.02114697423684762,0.15840589181875903,-0.8385110013755628,0.028271314504241585
URI,0.0007327457930437949,0.026183333553674016,-0.3213510253761288,2.615815348737959,0.027985198734978376
INVH,0.00048021905421094903,0.017559106008149066,0.07065534078217958,0.5101237598637733,0.027348718891957398
PXD,0.0006255634121183111,0.023007482420655104,-0.2094653316903507,0.6266747372406778,0.027189563841922483
CTVA,0.0004132887502692774,0.01534824180509057,-0.3609642505768611,0.40295542100226145,0.02692743283026734
HUM,0.0004095550890513846,0.01649434483798368,0.03499160389427097,2.3993399732619425,0.024830030721089854
SLB,0.0006287862731119896,0.025711090163242245,-0.49402739252531086,0.9154061540874423,0.024455838671941316
MOS,0.0005637433996652261,0.02358216816680781,-0.40402508079826965,0.2854229081425639,0.02390549485007497
STT,0.00047993564962159444,0.02013043373930516,-0.9015015915103095,2.292203162328982,0.023841297005166285
KMX,0.0007454531098286792,0.03176819691089294,0.31166266028257655,0.31410773405277714,0.02346538936155587
EBAY,0.0004267173708683919,0.018598517339233515,0.15719682663555162,0.6058767603559843,0.022943623036457476
NI,0.00029663550192938196,0.01316347320360282,-0.004128051285850131,-0.28127665227465615,0.02253474423818429
RHI,0.0004027456713918536,0.01814918816067342,0.29934219547909907,-0.24430832186149987,0.02219083673751002
CTRA,0.0004938333789508362,0.022587509057309177,-0.45925189511566533,0.42470226746645556,0.021863118137457248
QCOM,0.00044224519527725483,0.021048362054637847,0.6097182020840568,0.2991160849197545,0.02101090783830419
CINF,0.00044790240327138473,0.021744274466584862,1.293874052374549,5.542877758328557,0.02059863638861306
KMB,0.00020031742149610542,0.009971073954663266,0.042662964667567485,0.6903375429729519,0.02008985415281381
AVB,0.0003267150688796935,0.016291013618313775,0.0497552340371124,0.1285318401418043,0.020054925772845227
TT,0.00034413562950219855,0.017301452968706093,-0.7440658259788681,1.9469396297425492,0.01989056237789115
AEE,0.00027023220502715495,0.01360015810643039,0.23237235839443282,0.6697978427890403,0.019869784079891283
POOL,0.0004234079484250125,0.022829096994736845,0.03016548649088593,-0.22287946213888965,0.018546854854689498
UHS,0.00033418794791882113,0.018072053785683127,-1.2879995444163705,6.304677382065537,0.01849197395503373
WM,0.00020278082310999356,0.011971507728912275,0.01163414308407146,0.6274687121090148,0.0169386202391416
COF,0.00041495618663245083,0.02463409577073231,0.5473314195431381,1.0756228881183096,0.016844790671206977
DFS,0.00035072237241291136,0.02109123507159067,-0.09376407708393934,0.045171648778218554,0.01662882098760186
PLD,0.00029354746893730084,0.01802908262272284,-0.19022286187655077,0.14703825827665407,0.01628188605488613
CDAY,0.0003761334294254897,0.023197763022398208,-0.0640905360572142,-0.34033016391603743,0.016214211217793734
EXPD,0.0002625767752148244,0.016359513094036524,0.3387901482442411,2.294997937228435,0.016050402827119628
BIIB,0.00020260882660958244,0.013518244926101252,-0.09268428468779366,-0.21545799451825332,0.014987805570705556
DLTR,0.00023511418197243842,0.015762015110637954,-0.18091608232160827,-0.03164072152495434,0.014916505302279358
CDW,0.00021937165501587324,0.01490769966065717,-0.3529913707440313,-0.2550746584925965,0.014715325637718327
HPE,0.00022391407887492026,0.015783450408592345,0.7437645182405834,1.206400300613943,0.014186636830247446
OXY,0.0002911646856293641,0.021274745289083873,-0.09066694929906559,0.26039206969138995,0.01368593050929552
SWK,0.0003253667571885469,0.023882499303363065,0.03275161906382391,-0.24393057359068138,0.01362364772026727
TROW,0.0002856660647796932,0.0211645459660606,0.13775423837372733,0.7363904503918697,0.013497386867537172
STLD,0.00039358712060988263,0.02986303390113583,-1.072196702122324,5.768389063286793,0.013179743287734495
NTRS,0.00027692272255518965,0.021035495586734353,-1.1789532922961294,3.8639803456009023,0.013164544729330069
CVX,0.00020930020239003826,0.016211896649798576,-0.09125200236142064,1.1644016886513917,0.012910284768724991
ABC,0.00015153105026735305,0.011915547120642371,-0.2681583919791136,2.9969538335872814,0.012717087073982714
UDR,0.00020785506799845009,0.017007125910270232,0.1297432678760596,0.058813154060746164,0.012221645743971998
CHRW,0.0001810929511135528,0.015211490298432011,0.488529925665657,0.6265845795513578,0.01190501045990344
MKC,0.00019177588805306285,0.01757699449194529,1.037695451478571,10.012113321043078,0.010910618885438277
ABBV,0.00011502767852524907,0.010941010028152153,-0.251763674982455,0.19764799975831382,0.010513442381395595
WEC,0.0001419836512416599,0.013653641580492853,0.6080867059082897,0.8647866769302754,0.010398958432050385
SPGI,0.00014909670937760756,0.014669825611061185,-0.1209246577330674,0.004656828347227915,0.010163495690445511
F,0.0002618198187595847,0.025942056244161262,-0.620635824251248,0.8006200860103494,0.010092485202228796
EMN,0.0001947599529777486,0.019554678113994542,-0.38882157196664324,0.7512434184449748,0.009959762663562653
EXPE,0.0002479654858177319,0.025005952058980447,-0.5527847194510419,0.932775689664032,0.009916258546479916
KO,8.259298923492578e-05,0.008542570362190945,-0.3341689828707808,1.3479189832609357,0.009668400227697141
DAL,0.0001915812450734413,0.01984359171254153,-0.418814958822406,0.8204408157833574,0.009654564952188483
PM,0.00010111144570809672,0.010498399872224604,0.04492956285354628,-0.13353658225333165,0.009631129213853356
PNW,0.00012313834627160125,0.014445468424085985,0.407300000588742,0.059907675725543896,0.00852435813478251
TECH,0.00016604590788195218,0.019685846230029818,-0.02387214108548798,0.07611230222484844,0.008434786391283351
WY,0.00013630472469907784,0.017053143384220506,-0.04964712117792294,-0.04893071523142556,0.007992938406018585
GIS,9.911573553366151e-05,0.013484714139233179,-0.21323741156595652,3.270779776193666,0.007350228896976664
PG,6.823711801590891e-05,0.009324890368563413,-0.1182178250062229,0.5653938467648363,0.007317739439163131
XEL,9.897293229023643e-05,0.013767810198574303,0.3589472710438558,0.5790541361897588,0.007188719982534722
KMI,8.176892090208905e-05,0.011593330765506768,-0.11853657038751349,-0.5634518377760469,0.0070530999723887175
L,8.530626449791638e-05,0.01465037916793617,-0.42502558783689015,0.29997980067916075,0.005822802503611492
